epoch,step,train_IoU,train_loss,valid_IoU,valid_loss
33,3025,,,6.206524631124921e-06,0.9999933838844299
34,3049,0.0,0.9999987483024597,,
34,3099,9.788663192011882e-06,0.999991774559021,,
34,3114,,,6.088473128329497e-06,0.9999932646751404
35,3149,2.2255624571698718e-05,0.9999865293502808,,
35,3199,0.0,0.9999934434890747,,
35,3203,,,6.507048055937048e-06,0.9999929666519165
36,3249,0.0,0.999992847442627,,
36,3292,,,6.428760570997838e-06,0.9999932646751404
37,3299,0.0,0.9999945163726807,,
37,3349,0.0,0.9999971389770508,,
37,3381,,,6.802696589147672e-06,0.9999932646751404
38,3399,0.0,0.9999958872795105,,
38,3449,0.0,0.9999945759773254,,
38,3470,,,5.614931524178246e-06,0.9999933838844299
39,3499,0.0,0.9999947547912598,,
39,3549,0.0,0.9999909996986389,,
39,3559,,,5.328807219484588e-06,0.9999935030937195
40,3599,0.0,0.9999974966049194,,
40,3648,,,6.235300588741666e-06,0.9999931454658508
41,3649,0.0,0.9999971985816956,,
41,3699,9.449027857044712e-06,0.9999917149543762,,
41,3737,,,7.25640438759001e-06,0.9999933838844299
42,3749,0.0,0.999994695186615,,
42,3799,9.165819392364938e-06,0.9999945163726807,,
42,3826,,,6.63052060190239e-06,0.9999931454658508
43,3849,0.0,0.9999922513961792,,
43,3899,1.0590416422928683e-05,0.9999945759773254,,
43,3915,,,6.642039352300344e-06,0.999993085861206
44,3949,0.0,0.9999974370002747,,
44,3999,0.0,0.999994158744812,,
44,4004,,,6.764400495740119e-06,0.999992847442627
45,4049,0.0,0.9999975562095642,,
45,4093,,,6.9381385401356965e-06,0.9999931454658508
46,4099,1.1601870028243866e-05,0.9999900460243225,,
46,4149,0.0,0.999994695186615,,
46,4182,,,7.069017101457575e-06,0.9999929666519165
47,4199,0.0,0.9999924302101135,,
47,4249,9.055264854396228e-06,0.9999924302101135,,
47,4271,,,6.372366897267057e-06,0.9999931454658508
48,4299,1.0791328350023832e-05,0.9999900460243225,,
48,4349,8.975533091870602e-06,0.9999944567680359,,
48,4360,,,6.63891842123121e-06,0.999993085861206
49,4399,0.0,0.9999948143959045,,
49,4449,0.0,0.9999955296516418,,
49,4449,,,6.557896995218471e-06,0.9999931454658508
50,4499,1.0402363841421902e-05,0.9999915361404419,,
50,4538,,,8.339450687344652e-06,0.9999931454658508
51,4549,0.0,0.9999966025352478,,
51,4599,0.0,0.9999942779541016,,
51,4627,,,8.305507435579784e-06,0.999993085861206
52,4649,0.0,0.999996542930603,,
52,4699,2.1301122615113854e-05,0.9999881982803345,,
52,4716,,,5.325819074641913e-06,0.9999935030937195
53,4749,2.3094347852747887e-05,0.9999875426292419,,
53,4799,1.1962867574766278e-05,0.9999905824661255,,
53,4805,,,3.430057176956325e-06,0.9999933838844299
54,4849,0.0,0.9999926090240479,,
54,4894,,,7.426505817420548e-06,0.9999929666519165
55,4899,9.073998626263347e-06,0.9999902844429016,,
55,4949,0.0,0.9999936819076538,,
55,4983,,,7.967969395394903e-06,0.9999927878379822
56,4999,0.0,0.9999942779541016,,
56,5049,2.2987322154222056e-05,0.9999874830245972,,
56,5072,,,8.058214916673023e-06,0.9999927878379822
57,5099,0.0,0.9999955892562866,,
57,5149,1.192904710478615e-05,0.9999915361404419,,
